record_id,month,day,year,plot_id,period,diagnostic,length,diameter,recovery_method
116,8,21,1977,13,Early Pottery Neolithic,rim,37,31,Stratified survey
117,8,21,1977,21,Late Chalcolithic 1-2,rim,19,NA,Random stratified survey
118,8,21,1977,17,Early Pottery Neolithic,base,33,NA,Random survey
119,8,21,1977,20,Early Pottery Neolithic,base,35,NA,Stratified survey
120,8,21,1977,20,Early Pottery Neolithic,base,35,NA,Stratified survey
121,8,21,1977,15,Pottery Neolithic,NA,NA,NA,Random stratified survey
122,8,21,1977,22,Early Pottery Neolithic,rim,33,NA,Random survey
123,8,21,1977,17,Early Pottery Neolithic,base,37,NA,Random survey
124,8,21,1977,14,Early Pottery Neolithic,base,36,NA,Random survey
125,8,21,1977,22,Early Pottery Neolithic,base,35,NA,Random survey
126,8,21,1977,20,Early Pottery Neolithic,rim,30,NA,Stratified survey
127,8,21,1977,14,Early Pottery Neolithic,base,33,NA,Random survey
128,8,21,1977,15,Early Pottery Neolithic,base,34,NA,Random stratified survey
129,8,21,1977,14,Early Pottery Neolithic,rim,34,NA,Random survey
130,8,21,1977,16,Early Pottery Neolithic,rim,34,NA,Test pit
131,8,21,1977,22,Early Pottery Neolithic,base,37,NA,Random survey
132,8,21,1977,22,Early Pottery Neolithic,rim,33,NA,Random survey
133,8,21,1977,15,Early Pottery Neolithic,base,37,NA,Random stratified survey
134,8,21,1977,17,Halaf,rim,45,NA,Random survey
135,8,21,1977,15,Early Pottery Neolithic,rim,35,NA,Random stratified survey
136,8,21,1977,13,Hassuna,rim,16,NA,Stratified survey
137,8,21,1977,20,Early Pottery Neolithic,rim,35,NA,Stratified survey
138,8,21,1977,22,Early Pottery Neolithic,base,37,NA,Random survey
139,8,21,1977,14,Hassuna,base,15,NA,Random survey
140,8,21,1977,20,Early Pottery Neolithic,base,33,NA,Stratified survey
141,8,21,1977,16,Early Pottery Neolithic,base,36,NA,Test pit
142,8,21,1977,17,Early Pottery Neolithic,rim,34,NA,Random survey
143,8,21,1977,15,Early Pottery Neolithic,base,35,NA,Random stratified survey
144,8,21,1977,15,Halaf,base,40,NA,Random stratified survey
145,8,21,1977,13,Early Pottery Neolithic,rim,37,NA,Stratified survey
146,8,21,1977,13,Early Pottery Neolithic,rim,36,40,Stratified survey
147,8,21,1977,13,Early Pottery Neolithic,base,37,NA,Stratified survey
148,8,21,1977,14,Early Pottery Neolithic,base,37,NA,Random survey
149,8,21,1977,20,Halaf,base,50,NA,Stratified survey
150,8,21,1977,21,Early Pottery Neolithic,base,35,NA,Random stratified survey
151,8,21,1977,13,Early Pottery Neolithic,base,35,NA,Stratified survey
152,8,21,1977,14,Early Pottery Neolithic,base,38,NA,Random survey
153,8,21,1977,16,Halaf,rim,50,NA,Test pit
154,8,21,1977,20,Halaf,rim,47,NA,Stratified survey
155,8,21,1977,20,Halaf,NA,NA,NA,Stratified survey
156,8,21,1977,21,Early Pottery Neolithic,base,35,NA,Random stratified survey
157,9,11,1977,20,Early Pottery Neolithic,base,36,37,Stratified survey
158,9,11,1977,22,Early Pottery Neolithic,base,36,48,Random survey
159,9,11,1977,5,Halaf,base,53,NA,Test pit
160,9,11,1977,21,Early Pottery Neolithic,base,37,NA,Random stratified survey
161,9,11,1977,5,Early Pottery Neolithic,base,37,42,Test pit
162,9,11,1977,6,Early Pottery Neolithic,rim,39,45,Stratified survey
163,9,11,1977,12,Ubaid,rim,21,16,Random survey
164,9,11,1977,22,Early Pottery Neolithic,rim,36,36,Random survey
165,9,11,1977,19,Halaf,rim,50,NA,Random stratified survey
166,9,11,1977,21,Late Chalcolithic 1-2,base,13,NA,Random stratified survey
167,9,11,1977,6,Early Pottery Neolithic,base,36,42,Stratified survey
168,9,11,1977,12,Early Pottery Neolithic,base,36,44,Random survey
169,9,11,1977,5,Early Pottery Neolithic,base,37,NA,Test pit
170,9,11,1977,20,Early Pottery Neolithic,rim,36,41,Stratified survey
171,9,11,1977,12,Pottery Neolithic,NA,NA,NA,Random survey
172,9,11,1977,22,Hassuna,rim,NA,8,Random survey
173,9,11,1977,12,Early Pottery Neolithic,rim,36,40,Random survey
174,9,11,1977,12,Early Pottery Neolithic,base,37,34,Random survey
175,9,11,1977,19,Early Pottery Neolithic,base,33,40,Random stratified survey
176,9,11,1977,12,Halaf,base,45,NA,Random survey
177,9,11,1977,5,Late Chalcolithic 1-2,rim,NA,20,Test pit
178,9,11,1977,18,Early Pottery Neolithic,base,33,44,Stratified survey
179,9,11,1977,12,Early Pottery Neolithic,base,37,44,Random survey
180,9,11,1977,6,Early Pottery Neolithic,base,34,36,Stratified survey
181,9,11,1977,20,Early Pottery Neolithic,base,35,33,Stratified survey
182,9,11,1977,21,Halaf,base,49,NA,Random stratified survey
183,9,11,1977,5,Early Pottery Neolithic,rim,37,46,Test pit
184,9,11,1977,20,Halaf,base,52,NA,Stratified survey
185,9,11,1977,12,Late Chalcolithic 1-2,rim,19,NA,Random survey
186,9,11,1977,19,Early Pottery Neolithic,rim,34,35,Random stratified survey
187,9,12,1977,17,Early Pottery Neolithic,base,36,46,Random survey
188,9,12,1977,14,Halaf,rim,48,NA,Random survey
189,9,12,1977,17,Early Pottery Neolithic,rim,33,37,Random survey
190,9,12,1977,7,Early Pottery Neolithic,base,36,34,Test pit
191,9,12,1977,17,Halaf,base,47,NA,Random survey
192,9,12,1977,4,Early Pottery Neolithic,rim,36,45,Random survey
193,9,12,1977,7,Late Neolithic,NA,NA,NA,Test pit
194,9,12,1977,11,Pottery Neolithic,NA,NA,NA,Random survey
195,9,12,1977,4,Halaf,base,50,NA,Random survey
196,9,12,1977,7,Hassuna,rim,15,7,Test pit
197,9,12,1977,14,Early Pottery Neolithic,base,37,51,Random survey
198,9,12,1977,4,Early Pottery Neolithic,base,35,39,Random survey
199,9,12,1977,11,Early Pottery Neolithic,base,36,29,Random survey
200,9,12,1977,17,Halaf,rim,52,NA,Random survey
201,9,12,1977,10,Halaf,base,47,NA,Test pit
202,9,12,1977,17,Early Pottery Neolithic,rim,32,48,Random survey
203,9,12,1977,11,Early Pottery Neolithic,base,38,46,Random survey
204,9,12,1977,16,Early Pottery Neolithic,rim,37,41,Test pit
205,9,12,1977,16,Halaf,base,50,NA,Test pit
206,9,12,1977,23,Halaf,rim,52,NA,Test pit
207,9,12,1977,16,Halaf,rim,53,NA,Test pit
208,9,12,1977,14,Early Pottery Neolithic,base,37,45,Random survey
209,9,12,1977,17,Early Pottery Neolithic,rim,35,42,Random survey
210,9,12,1977,11,Early Pottery Neolithic,rim,36,53,Random survey
211,9,12,1977,4,Halaf,rim,48,NA,Random survey
212,9,12,1977,16,Hassuna,NA,NA,NA,Test pit
213,9,12,1977,14,Early Pottery Neolithic,rim,35,49,Random survey
214,9,12,1977,17,Pottery Neolithic,NA,NA,NA,Random survey
215,9,12,1977,14,Early Pottery Neolithic,rim,36,46,Random survey
216,9,12,1977,4,Hassuna,rim,13,9,Random survey
217,9,13,1977,3,Ubaid,rim,19,15,Random stratified survey
218,9,13,1977,1,Hassuna,base,13,4,Trench
219,9,13,1977,13,Early Pottery Neolithic,base,36,48,Stratified survey
220,9,13,1977,2,Halaf,base,52,NA,Random survey
221,9,13,1977,3,Early Pottery Neolithic,NA,NA,NA,Random stratified survey
222,9,13,1977,1,Halaf,base,52,NA,Trench
223,9,13,1977,8,Halaf,rim,50,NA,Random survey
224,9,13,1977,2,Pottery Neolithic,NA,NA,NA,Random survey
225,9,13,1977,15,Early Pottery Neolithic,NA,NA,NA,Random stratified survey
226,9,13,1977,2,Early Pottery Neolithic,base,37,51,Random survey
227,9,13,1977,15,Early Pottery Neolithic,NA,NA,NA,Random stratified survey
228,9,13,1977,9,Early Pottery Neolithic,base,38,50,Trench
229,9,13,1977,13,Early Pottery Neolithic,base,35,44,Stratified survey
230,9,13,1977,15,Early Pottery Neolithic,NA,NA,NA,Random stratified survey
231,9,13,1977,15,Halaf,NA,NA,NA,Random stratified survey
232,9,13,1977,9,Halaf,base,48,NA,Trench
233,9,13,1977,2,Early Pottery Neolithic,base,25,44,Random survey
234,9,13,1977,9,Early Pottery Neolithic,base,35,45,Trench
235,9,13,1977,13,Early Pottery Neolithic,rim,37,45,Stratified survey
236,9,13,1977,9,Halaf,rim,47,NA,Trench
237,9,13,1977,9,Halaf,rim,50,NA,Trench
238,9,13,1977,2,Late Neolithic,base,20,19,Random survey
239,9,13,1977,1,Halaf,base,48,NA,Trench
240,9,13,1977,9,Halaf,rim,53,NA,Trench
241,9,13,1977,3,Halaf,NA,NA,NA,Random stratified survey
242,9,13,1977,2,Late Chalcolithic 1-2,base,19,22,Random survey
243,10,16,1977,6,Early Pottery Neolithic,rim,38,44,Stratified survey
244,10,16,1977,22,Early Pottery Neolithic,rim,36,42,Random survey
245,10,16,1977,2,Early Pottery Neolithic,base,37,39,Random survey
246,10,16,1977,13,Early Pottery Neolithic,base,37,47,Stratified survey
247,10,16,1977,2,Halaf,base,54,NA,Random survey
248,10,16,1977,22,Early Chalcolithic,base,NA,21,Random survey
249,10,16,1977,13,Early Pottery Neolithic,base,36,42,Stratified survey
250,10,16,1977,18,Halaf,rim,51,NA,Stratified survey
251,10,16,1977,2,Early Pottery Neolithic,base,36,49,Random survey
252,10,16,1977,6,Halaf,rim,53,NA,Stratified survey
253,10,16,1977,20,Early Pottery Neolithic,base,38,39,Stratified survey
254,10,16,1977,20,Early Pottery Neolithic,rim,36,43,Stratified survey
255,10,16,1977,18,Early Pottery Neolithic,base,35,50,Stratified survey
256,10,16,1977,6,Early Pottery Neolithic,base,36,41,Stratified survey
257,10,16,1977,2,Early Pottery Neolithic,base,37,47,Random survey
258,10,16,1977,18,Early Pottery Neolithic,rim,36,37,Stratified survey
259,10,16,1977,2,Early Pottery Neolithic,base,36,41,Random survey
260,10,16,1977,22,Early Pottery Neolithic,rim,36,36,Random survey
261,10,16,1977,6,Early Pottery Neolithic,base,36,45,Stratified survey
262,10,16,1977,20,Late Neolithic,base,19,20,Stratified survey
263,10,16,1977,1,Early Pottery Neolithic,base,37,40,Trench
264,10,16,1977,9,Halaf,rim,49,NA,Trench
265,10,16,1977,9,Early Pottery Neolithic,base,38,49,Trench
266,10,16,1977,2,Pottery Neolithic,NA,NA,NA,Random survey
267,10,16,1977,22,Halaf,rim,46,NA,Random survey
268,10,16,1977,2,Early Pottery Neolithic,rim,36,55,Random survey
269,10,16,1977,6,Early Pottery Neolithic,base,37,46,Stratified survey
270,10,16,1977,1,Early Pottery Neolithic,rim,36,38,Trench
271,10,16,1977,9,Halaf,rim,50,NA,Trench
272,10,16,1977,18,Pottery Neolithic,NA,NA,NA,Stratified survey
273,10,16,1977,9,Early Pottery Neolithic,base,37,44,Trench
274,10,16,1977,2,Uruk,rim,20,21,Random survey
275,10,16,1977,20,Early Pottery Neolithic,base,37,41,Stratified survey
276,10,16,1977,1,Halaf,rim,50,NA,Trench
277,10,16,1977,6,Uruk,NA,20,21,Stratified survey
278,10,16,1977,9,Halaf,base,50,NA,Trench
279,10,16,1977,2,Late Neolithic,rim,19,NA,Random survey
280,10,16,1977,18,Early Pottery Neolithic,base,37,46,Stratified survey
281,10,16,1977,20,Pottery Neolithic,NA,NA,NA,Stratified survey
282,10,16,1977,22,Pottery Neolithic,NA,NA,NA,Random survey
283,10,16,1977,6,Early Pottery Neolithic,base,34,36,Stratified survey
284,10,16,1977,13,Early Pottery Neolithic,base,37,44,Stratified survey
285,10,16,1977,1,Early Pottery Neolithic,base,36,53,Trench
286,10,16,1977,20,Halaf,base,50,NA,Stratified survey
287,10,17,1977,17,Early Pottery Neolithic,base,38,41,Random survey
288,10,17,1977,17,Early Pottery Neolithic,base,37,48,Random survey
289,10,17,1977,14,Early Pottery Neolithic,base,38,47,Random survey
290,10,17,1977,17,Early Pottery Neolithic,rim,33,NA,Random survey
291,10,17,1977,11,Halaf,rim,47,NA,Random survey
292,10,17,1977,3,Middle Chalcolithic,rim,36,33,Random stratified survey
293,10,17,1977,4,Early Pottery Neolithic,rim,36,42,Random survey
294,10,17,1977,3,Middle Chalcolithic,rim,37,50,Random stratified survey
295,10,17,1977,11,Early Pottery Neolithic,base,36,41,Random survey
296,10,17,1977,17,Early Chalcolithic,NA,18,21,Random survey
297,10,17,1977,11,Pottery Neolithic,NA,NA,NA,Random survey
298,10,17,1977,19,Early Pottery Neolithic,base,36,49,Random stratified survey
299,10,17,1977,17,Early Chalcolithic,base,19,NA,Random survey
300,10,17,1977,14,Halaf,rim,NA,NA,Random survey
301,10,17,1977,17,Halaf,rim,48,NA,Random survey
302,10,17,1977,19,Early Pottery Neolithic,rim,36,44,Random stratified survey
303,10,17,1977,3,Early Pottery Neolithic,base,36,31,Random stratified survey
304,10,17,1977,21,Early Pottery Neolithic,base,37,40,Random stratified survey
305,10,17,1977,14,Early Pottery Neolithic,rim,35,40,Random survey
306,10,17,1977,16,Early Pottery Neolithic,base,33,23,Test pit
307,10,17,1977,19,Early Pottery Neolithic,base,36,42,Random stratified survey
308,10,17,1977,4,Halaf,rim,48,NA,Random survey
309,10,17,1977,17,Halaf,base,49,NA,Random survey
310,10,17,1977,11,Halaf,NA,NA,NA,Random survey
311,10,17,1977,19,Early Bronze Age,base,18,13,Random stratified survey
312,10,17,1977,11,Early Pottery Neolithic,rim,36,42,Random survey
313,10,17,1977,19,Early Pottery Neolithic,base,35,31,Random stratified survey
314,10,17,1977,14,Pottery Neolithic,NA,NA,NA,Random survey
315,10,17,1977,3,Early Pottery Neolithic,base,36,39,Random stratified survey
316,10,17,1977,15,Early Pottery Neolithic,base,37,48,Random stratified survey
317,10,17,1977,17,Middle Chalcolithic,rim,32,48,Random survey
318,10,17,1977,17,Early Pottery Neolithic,base,33,29,Random survey
319,10,17,1977,14,Early Pottery Neolithic,base,36,45,Random survey
320,10,17,1977,17,Early Pottery Neolithic,rim,35,39,Random survey
321,10,17,1977,17,Uruk,rim,NA,23,Random survey
322,10,17,1977,4,Halaf,rim,47,NA,Random survey
323,10,17,1977,17,Middle Chalcolithic,rim,33,31,Random survey
327,10,18,1977,8,Halaf,rim,50,NA,Random survey
328,10,18,1977,16,Early Pottery Neolithic,rim,NA,43,Test pit
329,10,18,1977,5,Halaf,rim,47,NA,Test pit
330,10,18,1977,5,Early Pottery Neolithic,base,37,43,Test pit
331,10,18,1977,12,Halaf,rim,50,NA,Random survey
332,10,18,1977,12,Hassuna,base,16,8,Random survey
333,10,18,1977,19,Late Chalcolithic 1-2,NA,NA,NA,Random stratified survey
334,10,18,1977,5,Early Pottery Neolithic,rim,37,45,Test pit
335,10,18,1977,5,Halaf,base,52,NA,Test pit
336,10,18,1977,12,Early Pottery Neolithic,base,36,40,Random survey
337,10,18,1977,8,Middle Chalcolithic,rim,35,41,Random survey
338,10,18,1977,12,Early Pottery Neolithic,base,37,41,Random survey
339,10,18,1977,8,Halaf,rim,49,NA,Random survey
340,10,18,1977,12,Early Pottery Neolithic,rim,36,39,Random survey
341,10,18,1977,5,Halaf,base,50,NA,Test pit
342,10,18,1977,16,Early Pottery Neolithic,base,34,25,Test pit
343,10,18,1977,21,Hassuna,NA,NA,NA,Random stratified survey
344,10,18,1977,3,Pottery Neolithic,NA,NA,NA,Random stratified survey
345,11,12,1977,22,Early Pottery Neolithic,rim,34,45,Random survey
346,11,12,1977,2,Early Pottery Neolithic,rim,37,36,Random survey
347,11,12,1977,6,Early Pottery Neolithic,rim,38,40,Stratified survey
348,11,12,1977,13,Early Pottery Neolithic,base,36,44,Stratified survey
349,11,12,1977,2,Pottery Neolithic,NA,NA,NA,Random survey
350,11,12,1977,2,Early Pottery Neolithic,base,37,47,Random survey
351,11,12,1977,22,Uruk,NA,NA,NA,Random survey
352,11,12,1977,1,Early Pottery Neolithic,base,36,40,Trench
353,11,12,1977,18,Pottery Neolithic,NA,NA,NA,Stratified survey
354,11,12,1977,2,Early Pottery Neolithic,base,38,44,Random survey
355,11,12,1977,2,Early Chalcolithic,NA,NA,NA,Random survey
356,11,12,1977,1,Middle Chalcolithic,rim,32,44,Trench
357,11,12,1977,9,Halaf,rim,50,117,Trench
358,11,12,1977,13,Hassuna,rim,16,7,Stratified survey
359,11,12,1977,18,Early Pottery Neolithic,base,36,40,Stratified survey
360,11,12,1977,20,Early Pottery Neolithic,rim,35,39,Stratified survey
361,11,12,1977,2,Early Pottery Neolithic,rim,36,40,Random survey
362,11,12,1977,1,Halaf,rim,51,121,Trench
363,11,12,1977,2,Pottery Neolithic,NA,NA,NA,Random survey
364,11,12,1977,9,Early Pottery Neolithic,base,37,46,Trench
365,11,12,1977,1,Early Pottery Neolithic,rim,38,35,Trench
366,11,12,1977,2,Uruk,NA,NA,NA,Random survey
367,11,12,1977,20,Halaf,base,51,115,Stratified survey
368,11,12,1977,9,Hassuna,rim,16,7,Trench
369,11,12,1977,20,Early Pottery Neolithic,rim,36,39,Stratified survey
370,11,12,1977,9,Early Pottery Neolithic,base,35,40,Trench
371,11,12,1977,13,Early Pottery Neolithic,base,36,40,Stratified survey
372,11,12,1977,22,Early Pottery Neolithic,rim,36,35,Random survey
373,11,12,1977,6,Early Pottery Neolithic,base,34,36,Stratified survey
374,11,12,1977,18,Early Pottery Neolithic,base,37,44,Stratified survey
375,11,12,1977,9,Hassuna,rim,15,6,Trench
376,11,12,1977,1,Hassuna,rim,15,7,Trench
377,11,12,1977,9,Halaf,rim,48,120,Trench
378,11,12,1977,1,Middle Chalcolithic,base,33,48,Trench
379,11,13,1977,14,Early Pottery Neolithic,base,36,44,Random survey
380,11,13,1977,17,Early Pottery Neolithic,rim,33,38,Random survey
381,11,13,1977,17,Halaf,rim,48,118,Random survey
382,11,13,1977,17,Early Pottery Neolithic,base,37,40,Random survey
383,11,13,1977,11,Halaf,rim,52,126,Random survey
384,11,13,1977,11,Early Pottery Neolithic,base,36,37,Random survey
385,11,13,1977,17,Halaf,base,50,132,Random survey
386,11,13,1977,21,Uruk,NA,NA,NA,Random stratified survey
387,11,13,1977,21,Uruk,NA,NA,NA,Random stratified survey
388,11,13,1977,11,Early Pottery Neolithic,rim,36,39,Random survey
389,11,13,1977,14,Halaf,rim,NA,113,Random survey
390,11,13,1977,11,Pottery Neolithic,NA,NA,NA,Random survey
391,11,13,1977,11,Hassuna,base,15,7,Random survey
392,11,13,1977,11,Halaf,rim,53,122,Random survey
393,11,13,1977,14,Pottery Neolithic,NA,NA,NA,Random survey
394,11,13,1977,4,Halaf,rim,48,107,Random survey
395,11,13,1977,14,Early Pottery Neolithic,base,36,43,Random survey
396,11,13,1977,14,Early Pottery Neolithic,rim,36,40,Random survey
397,11,13,1977,17,Early Bronze Age,rim,16,7,Random survey
398,11,13,1977,4,Halaf,rim,50,115,Random survey
399,11,13,1977,17,Early Pottery Neolithic,rim,36,39,Random survey
400,11,13,1977,21,Uruk,NA,NA,NA,Random stratified survey
404,11,14,1977,12,Early Pottery Neolithic,base,37,40,Random survey
405,11,14,1977,12,Halaf,NA,NA,NA,Random survey
406,11,14,1977,12,Pottery Neolithic,NA,NA,NA,Random survey
407,11,14,1977,5,Halaf,rim,50,116,Test pit
408,11,14,1977,8,Hassuna,rim,9,6,Random survey
409,11,14,1977,12,Early Pottery Neolithic,rim,36,38,Random survey
410,11,14,1977,5,Halaf,base,53,137,Test pit
411,11,14,1977,5,Early Pottery Neolithic,base,36,42,Test pit
412,11,14,1977,5,Halaf,base,52,126,Test pit
413,11,14,1977,8,Halaf,rim,49,112,Random survey
414,11,14,1977,8,Middle Chalcolithic,rim,34,39,Random survey
415,11,14,1977,5,Early Pottery Neolithic,rim,36,41,Test pit
420,12,10,1977,13,Early Pottery Neolithic,rim,38,48,Stratified survey
421,12,10,1977,9,Halaf,rim,51,121,Trench
422,12,10,1977,2,Early Pottery Neolithic,rim,37,42,Random survey
423,12,10,1977,13,Early Pottery Neolithic,base,36,42,Stratified survey
