"","record_id","month","day","year","plot_id","period","diagnostic","length","diameter","decoration_type","ceramic_type","manufacture_technique","recovery_method"
"72",11877,9,7,1986,2,"Pottery Neolithic","base",34,202,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"73",11879,9,7,1986,2,"Pottery Neolithic","rim",32,135,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"74",11887,9,7,1986,2,"Pottery Neolithic","base",33,177,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"75",11953,10,5,1986,2,"Pottery Neolithic","base",33,221,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"76",12299,2,1,1987,2,"Pottery Neolithic","base",32,253,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"77",12458,3,2,1987,2,"Pottery Neolithic","base",33,259,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"78",12602,4,6,1987,2,"Pottery Neolithic","base",34,260,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"79",12678,4,26,1987,2,"Pottery Neolithic","base",30,79,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"80",12708,4,26,1987,2,"Pottery Neolithic","rim",28,72,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"81",12729,4,26,1987,2,"Pottery Neolithic","base",32,270,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"82",12756,5,28,1987,2,"Pottery Neolithic","rim",30,99,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"83",12871,5,28,1987,2,"Pottery Neolithic","base",32,278,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"84",12997,7,1,1987,2,"Pottery Neolithic","rim",30,136,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"85",13025,7,1,1987,2,"Pottery Neolithic","base",33,260,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"86",13114,7,26,1987,2,"Pottery Neolithic","base",NA,269,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"87",13275,8,26,1987,2,"Pottery Neolithic","base",NA,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"88",13326,8,26,1987,2,"Pottery Neolithic","rim",32,146,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"89",13434,9,27,1987,2,"Pottery Neolithic","base",33,197,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"90",13465,9,27,1987,2,"Pottery Neolithic","rim",32,167,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"91",13476,9,27,1987,2,"Pottery Neolithic","rim",33,146,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"92",13615,10,25,1987,2,"Pottery Neolithic","base",34,203,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"93",13630,10,25,1987,2,"Pottery Neolithic","rim",30,176,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"94",13748,11,22,1987,2,"Pottery Neolithic","base",34,214,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"95",13977,1,24,1988,2,"Pottery Neolithic","rim",34,161,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"96",14646,6,12,1988,2,"Pottery Neolithic","rim",34,148,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"97",14740,7,15,1988,2,"Pottery Neolithic","rim",NA,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"98",14796,8,10,1988,2,"Pottery Neolithic","base",34,188,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"99",14804,8,10,1988,2,"Pottery Neolithic","base",31,132,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"100",14896,9,12,1988,2,"Pottery Neolithic","base",34,161,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"101",14984,10,9,1988,2,"Pottery Neolithic","base",35,170,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"102",15302,12,14,1988,2,"Pottery Neolithic","base",35,248,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"103",15780,3,13,1989,2,"Pottery Neolithic","base",33,242,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"104",16407,7,30,1989,2,"Pottery Neolithic","rim",33,97,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"105",17230,2,25,1990,2,"Pottery Neolithic","base",33,218,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"106",17877,9,25,1990,2,"Pottery Neolithic","rim",NA,176,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"107",17941,10,16,1990,2,"Pottery Neolithic","rim",33,195,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"108",18110,12,15,1990,2,"Pottery Neolithic","rim",33,193,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"109",18364,2,16,1991,2,"Pottery Neolithic","rim",33,185,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"110",18486,3,13,1991,2,"Pottery Neolithic","rim",33,174,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"111",18639,4,21,1991,2,"Pottery Neolithic","rim",33,126,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"112",18678,5,13,1991,2,"Pottery Neolithic","rim",31,81,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"113",18680,5,13,1991,2,"Pottery Neolithic","rim",33,185,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"114",18846,7,12,1991,2,"Pottery Neolithic","base",33,154,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"115",18948,8,7,1991,2,"Pottery Neolithic","base",32,178,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"116",19032,9,9,1991,2,"Pottery Neolithic","base",31,180,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"117",19245,11,13,1991,2,"Pottery Neolithic","rim",36,165,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"118",20040,5,30,1992,2,"Pottery Neolithic","rim",36,220,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"119",20089,7,3,1992,2,"Pottery Neolithic","rim",21,130,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"120",20364,9,26,1992,2,"Pottery Neolithic","rim",32,114,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"121",20466,10,18,1992,2,"Pottery Neolithic","rim",33,135,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"122",20992,7,14,1993,2,"Pottery Neolithic","base",32,78,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"123",21113,9,16,1993,2,"Pottery Neolithic","base",NA,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"124",21120,9,16,1993,2,"Pottery Neolithic","base",37,138,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"125",21161,10,15,1993,2,"Pottery Neolithic","base",32,148,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"126",21232,11,13,1993,2,"Pottery Neolithic","base",35,154,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"127",21235,11,13,1993,2,"Pottery Neolithic","base",34,160,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"128",21286,12,14,1993,2,"Pottery Neolithic","base",32,153,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"129",21507,4,10,1994,2,"Pottery Neolithic","base",NA,180,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"130",21558,5,18,1994,2,"Pottery Neolithic","base",35,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"131",22314,6,7,1995,2,"Pottery Neolithic","base",34,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"132",22728,9,23,1995,2,"Pottery Neolithic","rim",32,165,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"133",22899,10,28,1995,2,"Pottery Neolithic","rim",32,171,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"134",23032,12,2,1995,2,"Pottery Neolithic","rim",33,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"135",24589,10,12,1996,2,"Pottery Neolithic","base",33,127,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"136",24690,11,16,1996,2,"Pottery Neolithic","rim",33,130,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"137",24703,11,16,1996,2,"Pottery Neolithic","base",33,148,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"138",25247,3,15,1997,2,"Pottery Neolithic","base",34,147,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"139",25701,5,10,1997,2,"Pottery Neolithic","rim",32,144,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"140",26028,6,9,1997,2,"Pottery Neolithic","base",34,193,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"141",26644,7,29,1997,2,"Pottery Neolithic","rim",30,178,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"142",26827,9,27,1997,2,"Pottery Neolithic","rim",33,138,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"143",26857,9,27,1997,2,"Pottery Neolithic","rim",33,174,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"144",27042,10,25,1997,2,"Pottery Neolithic","rim",34,186,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"145",27326,12,28,1997,2,"Pottery Neolithic","rim",33,181,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"146",27734,3,29,1998,2,"Pottery Neolithic","rim",33,188,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"147",27781,5,2,1998,2,"Pottery Neolithic",NA,NA,200,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"148",27860,5,28,1998,2,"Pottery Neolithic","rim",33,190,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"149",27897,5,28,1998,2,"Pottery Neolithic","base",21,110,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"150",27919,5,28,1998,2,"Pottery Neolithic","rim",34,158,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"151",28022,6,27,1998,2,"Pottery Neolithic","rim",31,182,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"152",28077,6,27,1998,2,"Pottery Neolithic","base",30,132,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"153",28328,8,22,1998,2,"Pottery Neolithic","rim",30,143,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"154",28551,9,20,1998,2,"Pottery Neolithic","base",31,178,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"155",28556,9,20,1998,2,"Pottery Neolithic","base",30,149,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"156",28662,10,24,1998,2,"Pottery Neolithic","base",34,168,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"157",28928,12,22,1998,2,"Pottery Neolithic","rim",31,165,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"158",29039,1,16,1999,2,"Pottery Neolithic","rim",34,162,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"159",29310,3,14,1999,2,"Pottery Neolithic","rim",32,153,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"160",29435,4,17,1999,2,"Pottery Neolithic","base",34,220,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"161",29572,5,15,1999,2,"Pottery Neolithic","rim",33,154,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"162",29823,9,11,1999,2,"Pottery Neolithic","rim",33,200,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"163",29865,10,9,1999,2,"Pottery Neolithic","rim",32,194,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"164",29950,11,6,1999,2,"Pottery Neolithic","rim",33,195,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"165",30066,12,5,1999,2,"Pottery Neolithic","rim",33,131,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"166",30067,12,5,1999,2,"Pottery Neolithic",NA,NA,194,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"167",30172,1,8,2000,2,"Pottery Neolithic","rim",30,137,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"168",30174,1,8,2000,2,"Pottery Neolithic","rim",33,181,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"169",30175,1,8,2000,2,"Pottery Neolithic","base",34,265,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"170",30307,2,5,2000,2,"Pottery Neolithic","rim",33,185,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"171",30308,2,5,2000,2,"Pottery Neolithic","rim",31,144,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"172",30309,2,5,2000,2,"Pottery Neolithic",NA,NA,183,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"173",30443,3,4,2000,2,"Pottery Neolithic","base",33,184,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"174",30741,6,3,2000,2,"Pottery Neolithic","rim",33,158,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"175",31516,11,25,2000,2,"Pottery Neolithic","rim",29,200,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"176",31517,11,25,2000,2,"Pottery Neolithic","base",32,228,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"177",31633,12,22,2000,2,"Pottery Neolithic","rim",31,173,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"178",31717,1,21,2001,2,"Pottery Neolithic","base",33,121,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"179",31721,1,21,2001,2,"Pottery Neolithic","rim",31,158,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"180",31862,3,24,2001,2,"Pottery Neolithic","rim",32,252,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"181",31946,4,21,2001,2,"Pottery Neolithic","rim",33,145,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"182",32045,5,26,2001,2,"Pottery Neolithic","base",32,135,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"183",32167,6,25,2001,2,"Pottery Neolithic","rim",30,173,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"184",32391,8,25,2001,2,"Pottery Neolithic","rim",33,193,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"185",32817,10,13,2001,2,"Pottery Neolithic","rim",29,72,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"186",33040,11,17,2001,2,"Pottery Neolithic","rim",31,119,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"187",33041,11,17,2001,2,"Pottery Neolithic","rim",33,213,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"188",33237,12,15,2001,2,"Pottery Neolithic","rim",33,126,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"189",33238,12,15,2001,2,"Pottery Neolithic","rim",32,198,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"190",33339,1,12,2002,2,"Pottery Neolithic",NA,NA,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"191",33415,2,9,2002,2,"Pottery Neolithic","base",33,120,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"192",33583,3,13,2002,2,"Pottery Neolithic","base",32,136,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"193",33586,3,13,2002,2,"Pottery Neolithic","rim",32,196,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"194",33837,4,17,2002,2,"Pottery Neolithic","rim",NA,190,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"195",33847,4,17,2002,2,"Pottery Neolithic","rim",30,149,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"196",33966,5,15,2002,2,"Pottery Neolithic","rim",31,188,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"197",34198,6,15,2002,2,"Pottery Neolithic","rim",31,139,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"198",34783,10,5,2002,2,"Pottery Neolithic","base",36,226,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"199",34991,11,9,2002,2,"Pottery Neolithic","base",33,238,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"200",35212,12,7,2002,2,"Pottery Neolithic","base",33,248,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"201",35404,12,29,2002,2,"Pottery Neolithic","rim",30,NA,"Applique","Bevelled-Rim Bowl","coil","Random survey"
"202",3,7,16,1977,2,"Early Pottery Neolithic","rim",37,NA,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"203",226,9,13,1977,2,"Early Pottery Neolithic","base",37,51,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"204",233,9,13,1977,2,"Early Pottery Neolithic","base",25,44,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"205",245,10,16,1977,2,"Early Pottery Neolithic","base",37,39,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"206",251,10,16,1977,2,"Early Pottery Neolithic","base",36,49,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"207",257,10,16,1977,2,"Early Pottery Neolithic","base",37,47,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"208",259,10,16,1977,2,"Early Pottery Neolithic","base",36,41,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"209",268,10,16,1977,2,"Early Pottery Neolithic","rim",36,55,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"210",346,11,12,1977,2,"Early Pottery Neolithic","rim",37,36,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"211",350,11,12,1977,2,"Early Pottery Neolithic","base",37,47,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"212",354,11,12,1977,2,"Early Pottery Neolithic","base",38,44,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"213",361,11,12,1977,2,"Early Pottery Neolithic","rim",36,40,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"214",422,12,10,1977,2,"Early Pottery Neolithic","rim",37,42,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"215",424,12,10,1977,2,"Early Pottery Neolithic","base",37,52,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"216",427,12,10,1977,2,"Early Pottery Neolithic","rim",37,37,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"217",438,12,10,1977,2,"Early Pottery Neolithic","base",36,47,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"218",449,12,10,1977,2,"Early Pottery Neolithic","base",35,43,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"219",507,1,8,1978,2,"Early Pottery Neolithic","base",35,44,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"220",511,1,8,1978,2,"Early Pottery Neolithic","base",36,38,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"221",518,1,8,1978,2,"Early Pottery Neolithic","base",36,38,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"222",519,1,8,1978,2,"Early Pottery Neolithic","base",38,48,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"223",521,1,8,1978,2,"Early Pottery Neolithic","base",36,43,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"224",522,1,8,1978,2,"Early Pottery Neolithic","rim",37,35,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"225",523,1,8,1978,2,"Early Pottery Neolithic","base",36,43,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"226",527,1,8,1978,2,"Early Pottery Neolithic","rim",37,37,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
"227",533,1,8,1978,2,"Early Pottery Neolithic","base",NA,45,"Burnished","Bowl with Ribbed Rim","coil","Random survey"
